image,label
images/example_8_aug_004.png,line
images/example_164_aug_027.png,radar
images/example_107_aug_044.png,scatter
images/example_209_aug_005.png,unknown
images/example_255_aug_024.png,graph
images/example_152_aug_048.png,candlestick
images/example_101_aug_005.png,pie
images/example_163_aug_026.png,radar
images/example_233_aug_020.png,gauge
images/example_73_aug_006.png,bar
images/example_252_aug_048.png,graph
images/example_280_aug_003.png,custom
images/example_293_aug_019.png,custom
images/example_77_aug_005.png,bar
images/example_252_aug_035.png,graph
images/example_100_aug_013.png,pie
images/example_15_aug_015.png,line
images/example_17_aug_040.png,line
images/example_230_aug_005.png,gauge
images/example_102_aug_008.png,pie
images/example_54_aug_049.png,bar
images/example_13_aug_009.png,line
images/example_29_aug_020.png,line
images/example_240_aug_041.png,line
images/example_125_aug_026.png,unknown
images/example_281_aug_009.png,custom
images/example_93_aug_006.png,pie
images/example_232_aug_008.png,gauge
images/example_72_aug_019.png,bar
images/example_35_aug_044.png,line
images/example_249_aug_015.png,unknown
images/example_246_aug_041.png,themeRiver
images/example_125_aug_010.png,unknown
images/example_173_aug_002.png,heatmap
images/example_42_aug_015.png,bar
images/example_227_aug_039.png,gauge
images/example_21_aug_037.png,line
images/example_17_aug_022.png,line
images/example_30_aug_015.png,line
images/example_121_aug_012.png,scatter
images/example_36_aug_003.png,line
images/example_98_aug_029.png,pie
images/example_38_aug_038.png,line
images/example_97_aug_033.png,unknown
images/example_293_aug_025.png,custom
images/example_59_aug_023.png,bar
images/example_15_aug_002.png,line
images/example_52_aug_017.png,bar
images/example_172_aug_031.png,heatmap
images/example_202_aug_035.png,treemap
images/example_76_aug_031.png,bar
images/example_17_aug_041.png,line
images/example_91_aug_030.png,pie
images/example_1_aug_037.png,unknown
images/example_248_aug_005.png,unknown
images/example_33_aug_035.png,line
images/example_8_aug_045.png,line
images/example_230_aug_039.png,gauge
images/example_51_aug_034.png,bar
images/example_67_aug_019.png,unknown
images/example_60_aug_030.png,bar
images/example_164_aug_009.png,radar
images/example_73_aug_033.png,bar
images/example_24.png,unknown
images/example_96_aug_005.png,pie
images/example_152_aug_006.png,candlestick
